"meanfreq","sd","median","Q25","Q75","IQR","skew","kurt","sp.ent","sfm","mode","centroid","meanfun","minfun","maxfun","meandom","mindom","maxdom","dfrange","modindx","label"
0.190652720374678,0.05717095688563,0.209263157894737,0.129684210526316,0.231663157894737,0.101978947368421,1.51725419745145,4.71505762089955,0.898187212269903,0.358169232418781,0.218105263157895,0.190652720374678,0.104187383291496,0.0471512770137525,0.262295081967213,0.717447916666667,0.140625,3.09375,2.953125,0.133520074696545,"male"
0.206842441256175,0.0625126068562107,0.229493670886076,0.142658227848101,0.268924050632911,0.12626582278481,2.99979814740616,14.404062926578,0.859689834159521,0.238467508921646,0.277341772151899,0.206842441256175,0.141784576199947,0.0471512770137525,0.27906976744186,1.20957880434783,0.0234375,7.1015625,7.078125,0.143676304312712,"male"
0.195639579888632,0.0628187208806107,0.221511111111111,0.136059259259259,0.250548148148148,0.114488888888889,1.47386217996393,4.90998107946676,0.918183417376992,0.459705881853109,0.260918518518518,0.195639579888632,0.13792385207347,0.0476190476190476,0.263736263736264,1.171875,0.0234375,6.3515625,6.328125,0.151522633744856,"male"
0.192725758110569,0.0548152205058192,0.187962962962963,0.143024691358025,0.243703703703704,0.100679012345679,1.1148591843025,3.8204725060077,0.909432587283695,0.313133903337987,0.143456790123457,0.192725758110569,0.133600506774813,0.048048048048048,0.27906976744186,1.13051470588235,0.0234375,6.7734375,6.75,0.130833333333333,"male"
0.193316994599107,0.0603819879272118,0.212397260273973,0.142397260273973,0.247876712328767,0.105479452054795,1.29758349017876,4.30445438317048,0.913324880411093,0.416136092308189,0.26513698630137,0.193316994599107,0.143739404590021,0.0478564307078764,0.277456647398844,0.8806640625,0.0234375,6.0234375,6,0.116727941176471,"male"
0.202971887284304,0.057254755806223,0.228893203883495,0.145165048543689,0.252271844660194,0.107106796116505,1.26227254684107,3.63582788626255,0.881478061029486,0.230464572618362,0.143533980582524,0.202971887284304,0.137973175027761,0.0474308300395257,0.274285714285714,0.836148648648649,0.0234375,6.9375,6.9140625,0.101694915254237,"male"
0.187855712025059,0.0536225456786506,0.1708,0.149333333333333,0.234266666666667,0.0849333333333333,1.5329623829366,5.87702821374174,0.910408128017641,0.342158111378999,0.161466666666667,0.187855712025059,0.139569467198647,0.0475247524752475,0.275862068965517,1.15457589285714,0.0234375,7.4296875,7.40625,0.167809423347398,"male"
0.207791853310857,0.0592870661098077,0.236641791044776,0.148880597014925,0.257537313432836,0.10865671641791,1.58814738344676,4.77063644335045,0.877105511496634,0.271040583760979,0.249179104477612,0.207791853310857,0.141775334481058,0.0471050049067713,0.266666666666667,0.949835526315789,0.0234375,4.921875,4.8984375,0.0985083028426682,"male"
0.199699210553051,0.0536998636366678,0.214190687361419,0.154589800443459,0.249578713968958,0.0949889135254989,1.61118618257771,5.34358809166747,0.879361608971224,0.24191324023268,0.241507760532151,0.199699210553051,0.12699134235938,0.0488798370672098,0.248704663212435,0.74296875,0.0234375,6.515625,6.4921875,0.0902527075812274,"male"
0.207164493158757,0.0616270518769607,0.236464811783961,0.140229132569558,0.258003273322422,0.117774140752864,1.90805997681889,6.4717427518091,0.875382296225711,0.290112468987569,0.274959083469722,0.207164493158757,0.127705512298454,0.0469208211143695,0.27906976744186,1.09479166666667,0.0234375,5.6953125,5.671875,0.145808736717828,"male"
